,ACCLASS,AG_DRIV,ALCOHOL,AUTOMOBILE,CYCLIST,DATE,DISABILITY,EMERG_VEH,HOOD_ID,HOUR,INITDIR,INVAGE,LIGHT,LOCCOORD,MANOEUVER,MOTORCYCLE,PASSENGER,PEDESTRIAN,RDSFCOND,REDLIGHT,ROAD_CLASS,SPEEDING,TRAFFCTL,TRSN_CITY_VEH,TRUCK,VISIBILITY
104,0,0,0,1,0,5,0,0,128,23,3,8,0,4,2,0,0,1,0,0,4,0,1,0,0,0
107,0,0,0,1,0,5,0,0,9,14,3,11,4,4,2,0,1,0,0,0,3,0,1,0,0,0
111,0,0,0,1,0,5,0,0,99,19,3,9,0,3,2,0,0,0,0,0,4,0,2,0,0,0
112,0,0,0,1,0,5,0,0,99,19,3,9,0,3,11,0,0,0,0,0,4,0,2,0,0,0
113,0,0,0,1,0,5,0,0,16,7,1,11,4,3,13,0,1,0,0,0,4,0,2,0,0,0
116,0,0,0,1,0,5,0,0,16,7,0,5,4,3,2,0,1,0,0,0,4,0,2,0,0,0
117,0,1,0,1,0,5,0,0,87,16,0,3,4,3,12,1,0,0,0,0,4,0,2,0,0,0
118,0,1,0,1,0,5,0,0,87,16,0,1,4,3,11,1,0,0,0,0,4,0,2,0,0,0
120,0,1,0,1,0,5,0,0,131,6,1,7,4,4,2,0,0,0,8,0,0,0,1,0,0,5
121,0,1,0,1,0,5,0,0,131,6,2,8,4,4,6,0,0,0,8,0,0,0,1,0,0,5
122,0,1,0,1,0,5,0,0,98,7,2,3,4,3,2,1,0,0,8,0,4,0,2,0,0,5
123,0,1,0,1,0,5,0,0,98,7,0,3,4,3,13,1,0,0,8,0,4,0,2,0,0,5
125,0,0,0,1,0,5,0,0,106,15,2,14,4,4,2,0,0,1,8,0,5,0,1,0,0,5
127,0,0,0,1,0,5,0,0,26,17,0,1,4,4,2,0,0,1,8,0,4,0,1,0,0,5
129,0,0,0,1,0,5,0,0,95,12,0,7,4,3,13,0,0,1,0,0,4,0,2,0,0,0
135,0,1,0,1,0,5,0,0,27,5,3,2,3,3,0,0,0,1,0,0,4,1,2,0,0,0
136,0,1,0,1,0,5,0,0,27,5,1,4,3,3,13,0,0,1,0,0,4,1,2,0,0,0
139,0,1,0,1,0,5,0,0,35,11,2,8,4,3,13,0,0,1,0,0,4,0,2,0,0,0
142,0,1,0,1,1,5,0,0,53,12,3,13,4,4,6,0,0,0,0,0,3,0,1,0,0,0
144,1,0,0,1,0,5,0,0,27,18,3,4,4,4,2,0,0,1,8,0,3,0,1,0,0,5
146,0,1,0,1,0,5,0,0,91,11,3,11,4,3,13,0,1,0,0,0,0,0,2,0,0,0
148,0,1,0,1,0,5,0,0,91,11,2,3,4,3,2,0,1,0,0,0,0,0,2,0,0,0
153,0,1,0,1,0,5,0,0,62,1,2,2,0,4,2,0,1,1,8,0,4,1,1,0,0,5
155,0,0,0,1,0,5,0,0,4,10,3,8,4,3,2,0,0,0,8,0,4,0,2,0,0,5
157,0,0,0,1,0,5,0,0,4,10,0,1,4,3,13,0,0,0,8,0,4,0,2,0,0,5
158,0,0,0,1,0,5,0,0,4,10,2,7,4,3,12,0,0,0,8,0,4,0,2,0,0,5
159,1,1,0,1,0,5,0,0,39,18,3,6,4,3,14,0,0,1,0,0,4,0,2,0,0,0
162,0,1,0,1,0,5,0,0,1,6,1,7,4,3,13,0,0,0,0,1,4,0,2,0,0,0
163,0,1,0,1,0,5,0,0,1,6,2,2,4,3,2,0,0,0,0,1,4,0,2,0,0,0
165,0,0,0,1,1,5,0,0,75,19,3,8,4,4,7,0,0,0,0,0,4,0,1,0,0,0
174,0,1,1,1,0,5,0,0,24,23,2,3,0,4,2,0,1,0,0,0,0,1,1,0,0,0
178,0,0,1,1,0,5,0,0,126,5,2,2,7,3,13,0,1,0,0,0,4,0,2,0,0,0
180,0,0,0,1,0,5,0,0,8,16,0,6,4,3,2,0,0,0,4,0,4,0,2,0,0,0
182,0,0,0,1,0,5,0,0,8,16,0,6,4,3,2,0,0,0,4,0,4,0,2,0,0,0
184,0,0,0,1,0,5,0,0,8,16,2,7,4,3,14,0,0,0,4,0,4,0,2,0,0,0
185,0,0,0,1,0,5,0,0,8,16,0,5,4,3,2,0,0,0,4,0,4,0,2,0,0,0
188,0,0,0,1,0,5,0,0,40,21,2,4,0,3,13,0,1,0,0,0,4,0,2,0,0,0
190,0,0,0,1,0,5,0,0,40,21,1,2,0,3,2,0,1,0,0,0,4,0,2,0,0,0
191,1,1,0,0,0,5,0,0,71,23,0,3,0,4,2,1,0,0,0,0,5,0,1,0,0,0
195,0,1,1,1,0,6,0,0,138,12,2,2,4,3,2,0,1,0,0,0,4,0,2,0,0,0
196,0,1,1,1,0,6,0,0,138,12,1,3,4,3,13,0,1,0,0,0,4,0,2,0,0,0
197,1,0,0,1,0,6,0,0,63,7,2,5,4,3,2,0,0,1,0,0,4,0,2,0,0,0
